,SampleID,Field,CropID,SampleDate,AnalysisDate,Parameter,DataType,WS_Current,WS_Ideal,WS_Needed,Mehlich_Current,Mehlich_Ideal,Mehlich_Needed,Current,Ideal,Needed
32,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Other Bases,Saturation,,,,,,,4.44,4.0,
33,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Ex H+,Saturation,,,,,,,0.6,10.0,
34,102924-sp-936,kf,11672,2024-10-07,2024-10-29,CEC (meq),Saturation,,,,,,,,,23.36
35,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Total Sat (%),Saturation,,,,,,,,,95.0
36,102924-sp-936,kf,11672,2024-10-07,2024-10-29,TCEC (meq),Saturation,,,,,,,,,24.6
37,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Calcium,Nutrient,45.75,40.0,-5.75,713.63,1055.36,341.73,,,
38,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Magnesium,Nutrient,25.29,7.0,-18.29,356.45,111.74,-244.71,,,
39,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Potassium,Nutrient,29.01,13.0,-16.01,96.34,105.92,9.58,,,
40,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Sodium,Nutrient,47.42,10.0,-37.42,62.5,17.85,-44.65,,,
41,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Phosphorus,Nutrient,2.4,0.8,-1.6,12.01,105.92,93.91,,,
42,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Sulfur,Nutrient,43.44,2.0,-41.44,39.25,52.96,13.71,,,
43,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Chloride,Nutrient,154.31,20.0,-134.31,154.31,,,,,
44,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Silicon,Nutrient,44.97,20.0,-24.97,245.45,42.37,-203.08,,,
45,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Iodine,Nutrient,5.33,5.0,-0.33,5.33,,,,,
46,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Boron,Nutrient,3.54,0.75,-2.79,0.71,1.06,0.35,,,
47,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.32,0.5,0.18,0.33,1.25,0.92,,,
48,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Selenium,Nutrient,2.0,0.5,-1.5,1.13,2.12,0.99,,,
49,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Aluminum,Nutrient,17.51,1.0,-16.51,308.51,166.48,-142.03,,,
50,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Iron,Nutrient,20.58,0.75,-19.83,83.24,35.31,-47.93,,,
51,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Manganese,Nutrient,2.47,0.07,-2.4,71.0,17.65,-53.35,,,
52,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Zinc,Nutrient,0.41,0.06,-0.35,2.72,10.59,7.87,,,
53,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Copper,Nutrient,0.26,0.04,-0.22,5.37,4.24,-1.13,,,
54,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,1.85,2.12,0.27,,,
55,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,6.71,6.2,-0.51
56,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.13,0.64,0.51
57,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.21,0.7,0.49
58,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,32.0,80.0,48.0
59,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,1.64,7.0,5.36
60,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,102.21,1000.0,897.79
61,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,195.71,60.0,-135.71
62,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Est N from OM in lb,Water Soluble,,,,,,,52.8,120.0,67.2
63,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Nitrate,Water Soluble,,,,,,,2.13,30.0,27.87
64,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Ammonium,Water Soluble,,,,,,,0.47,40.0,39.53
65,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Ca %,Saturation,,,,,,,46.0,68.0,3.57
66,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Mg %,Saturation,,,,,,,38.0,12.0,2.97
67,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,K %,Saturation,,,,,,,3.0,3.5,0.25
68,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Na %,Saturation,,,,,,,3.0,1.0,0.27
69,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Other Bases,Saturation,,,,,,,4.69,4.0,
70,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Ex H+,Saturation,,,,,,,4.35,10.0,
71,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,CEC (meq),Saturation,,,,,,,,,7.06
72,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,Total Sat (%),Saturation,,,,,,,,,91.0
73,102924-sp-937,bru-1a,12803,2024-10-07,2024-10-29,TCEC (meq),Saturation,,,,,,,,,7.76
74,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Calcium,Nutrient,54.65,40.0,-14.65,735.97,981.92,245.95,,,
75,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Magnesium,Nutrient,27.61,7.0,-20.61,369.19,103.97,-265.22,,,
76,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Potassium,Nutrient,25.63,13.0,-12.63,71.34,98.55,27.21,,,
77,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Sodium,Nutrient,52.9,10.0,-42.9,63.29,16.61,-46.68,,,
78,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Phosphorus,Nutrient,2.5,0.8,-1.7,4.81,98.55,93.74,,,
79,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Sulfur,Nutrient,19.75,2.0,-17.75,9.72,49.28,39.56,,,
80,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Chloride,Nutrient,106.68,20.0,-86.68,106.68,,,,,
81,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Silicon,Nutrient,32.8,20.0,-12.8,252.67,39.42,-213.25,,,
82,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Iodine,Nutrient,2.06,5.0,2.94,2.06,,,,,
83,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Boron,Nutrient,3.93,0.75,-3.18,0.93,0.98,0.05,,,
84,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.46,0.5,0.04,0.33,1.25,0.92,,,
85,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Selenium,Nutrient,2.31,0.5,-1.81,1.01,1.97,0.96,,,
86,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Aluminum,Nutrient,10.66,1.0,-9.66,201.24,240.98,39.74,,,
87,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Iron,Nutrient,13.11,0.75,-12.36,120.49,32.85,-87.64,,,
88,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Manganese,Nutrient,4.87,0.07,-4.8,103.69,16.43,-87.26,,,
89,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Zinc,Nutrient,1.27,0.06,-1.21,3.16,9.86,6.7,,,
90,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Copper,Nutrient,0.25,0.04,-0.21,6.16,3.94,-2.22,,,
91,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,2.3,1.97,-0.33,,,
92,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,7.01,6.2,-0.81
93,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.15,0.64,0.49
94,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.24,0.7,0.46
95,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,12.0,80.0,68.0
96,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,2.14,7.0,4.86
97,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,146.4,1000.0,853.6
98,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,289.14,60.0,-229.14
99,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Est N from OM in lb,Water Soluble,,,,,,,62.8,120.0,57.2
100,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Nitrate,Water Soluble,,,,,,,0.0,30.0,30.0
101,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Ammonium,Water Soluble,,,,,,,2.24,40.0,37.76
102,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Ca %,Saturation,,,,,,,51.0,68.0,3.68
103,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Mg %,Saturation,,,,,,,43.0,12.0,3.08
104,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,K %,Saturation,,,,,,,2.0,3.5,0.18
105,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Na %,Saturation,,,,,,,4.0,1.0,0.28
106,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Other Bases,Saturation,,,,,,,0.0,4.0,
107,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Ex H+,Saturation,,,,,,,0.0,10.0,
108,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,CEC (meq),Saturation,,,,,,,,,7.22
109,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,Total Sat (%),Saturation,,,,,,,,,100.0
110,102924-sp-938,daf 2,8928,2024-10-07,2024-10-29,TCEC (meq),Saturation,,,,,,,,,7.22
111,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Calcium,Nutrient,35.09,40.0,4.91,888.29,1385.84,497.55,,,
112,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Magnesium,Nutrient,14.31,7.0,-7.31,379.02,146.74,-232.28,,,
113,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Potassium,Nutrient,51.19,13.0,-38.19,227.38,139.09,-88.29,,,
114,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Sodium,Nutrient,27.2,10.0,-17.2,32.59,23.44,-9.15,,,
115,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Phosphorus,Nutrient,2.85,0.8,-2.05,16.94,139.09,122.15,,,
116,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Sulfur,Nutrient,17.84,2.0,-15.84,6.33,69.55,63.22,,,
117,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Chloride,Nutrient,113.45,20.0,-93.45,113.45,,,,,
118,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Silicon,Nutrient,24.74,20.0,-4.74,175.79,55.64,-120.15,,,
119,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Iodine,Nutrient,2.5,5.0,2.5,2.5,,,,,
120,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Boron,Nutrient,3.83,0.75,-3.08,0.36,1.39,1.03,,,
121,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.0,0.5,0.5,0.2,1.25,1.05,,,
122,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Selenium,Nutrient,2.51,0.5,-2.01,0.34,2.78,2.44,,,
123,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Aluminum,Nutrient,7.07,1.0,-6.07,260.46,215.26,-45.2,,,
124,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Iron,Nutrient,10.05,0.75,-9.3,107.63,46.36,-61.27,,,
125,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Manganese,Nutrient,1.15,0.07,-1.08,47.09,23.18,-23.91,,,
126,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Zinc,Nutrient,0.46,0.06,-0.4,5.18,13.91,8.73,,,
127,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Copper,Nutrient,0.27,0.04,-0.23,1.25,5.56,4.31,,,
128,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,1.58,2.78,1.2,,,
129,102924-sp-939,rch,8940,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,6.13,6.2,0.07
130,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.04,0.64,0.6
131,102924-sp-939,rch,8940,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.07,0.7,0.63
132,102924-sp-939,rch,8940,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,64.0,80.0,16.0
133,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,2.68,7.0,4.32
134,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,156.79,1000.0,843.21
135,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,108.18,60.0,-48.18
136,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Est N from OM in lb,Water Soluble,,,,,,,73.6,120.0,46.4
137,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Nitrate,Water Soluble,,,,,,,0.0,30.0,30.0
138,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Ammonium,Water Soluble,,,,,,,0.66,40.0,39.34
139,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Ca %,Saturation,,,,,,,44.0,68.0,4.44
140,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Mg %,Saturation,,,,,,,31.0,12.0,3.16
141,102924-sp-939,rch,8940,2024-10-07,2024-10-29,K %,Saturation,,,,,,,6.0,3.5,0.58
142,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Na %,Saturation,,,,,,,1.0,1.0,0.14
143,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Other Bases,Saturation,,,,,,,5.27,4.0,
144,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Ex H+,Saturation,,,,,,,13.05,10.0,
145,102924-sp-939,rch,8940,2024-10-07,2024-10-29,CEC (meq),Saturation,,,,,,,,,8.32
146,102924-sp-939,rch,8940,2024-10-07,2024-10-29,Total Sat (%),Saturation,,,,,,,,,82.0
147,102924-sp-939,rch,8940,2024-10-07,2024-10-29,TCEC (meq),Saturation,,,,,,,,,10.19
148,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Calcium,Nutrient,43.99,40.0,-3.99,2928.58,3605.36,676.78,,,
149,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Magnesium,Nutrient,17.39,7.0,-10.39,1008.12,381.74,-626.38,,,
150,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Potassium,Nutrient,0.0,13.0,13.0,289.62,361.86,72.24,,,
151,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Sodium,Nutrient,31.98,10.0,-21.98,74.98,60.97,-14.01,,,
152,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Phosphorus,Nutrient,5.96,0.8,-5.16,81.41,361.86,280.45,,,
153,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Sulfur,Nutrient,18.33,2.0,-16.33,9.82,180.93,171.11,,,
154,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Chloride,Nutrient,56.53,20.0,-36.53,56.53,,,,,
155,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Silicon,Nutrient,25.8,20.0,-5.8,328.91,144.74,-184.17,,,
156,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Iodine,Nutrient,2.35,5.0,2.65,2.35,,,,,
157,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Boron,Nutrient,3.68,0.75,-2.93,0.83,3.61,2.78,,,
158,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.15,0.5,0.35,0.24,1.25,1.01,,,
159,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Selenium,Nutrient,1.99,0.5,-1.49,0.92,7.24,6.32,,,
160,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Aluminum,Nutrient,3.23,1.0,-2.23,381.69,207.42,-174.27,,,
161,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Iron,Nutrient,6.04,0.75,-5.29,103.71,120.62,16.91,,,
162,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Manganese,Nutrient,0.49,0.07,-0.42,119.23,60.31,-58.92,,,
163,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Zinc,Nutrient,0.2,0.06,-0.14,4.72,36.19,31.47,,,
164,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Copper,Nutrient,0.21,0.04,-0.17,4.05,14.47,10.42,,,
165,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,2.61,7.24,4.63,,,
166,102924-sp-940,terk,8939,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,6.71,6.2,-0.51
167,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.24,0.64,0.4
168,102924-sp-940,terk,8939,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.37,0.7,0.33
169,102924-sp-940,terk,8939,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,29.0,80.0,51.0
170,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,5.4,7.0,1.6
171,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,143.8,1000.0,856.2
172,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,156.87,60.0,-96.87
173,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Est N from OM in lb,Water Soluble,,,,,,,102.0,120.0,18.0
174,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Nitrate,Water Soluble,,,,,,,0.0,30.0,30.0
175,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Ammonium,Water Soluble,,,,,,,0.0,40.0,40.0
176,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Ca %,Saturation,,,,,,,55.0,68.0,14.64
177,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Mg %,Saturation,,,,,,,32.0,12.0,8.4
178,102924-sp-940,terk,8939,2024-10-07,2024-10-29,K %,Saturation,,,,,,,3.0,3.5,0.74
179,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Na %,Saturation,,,,,,,1.0,1.0,0.33
180,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Other Bases,Saturation,,,,,,,4.69,4.0,
181,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Ex H+,Saturation,,,,,,,4.35,10.0,
182,102924-sp-940,terk,8939,2024-10-07,2024-10-29,CEC (meq),Saturation,,,,,,,,,24.11
183,102924-sp-940,terk,8939,2024-10-07,2024-10-29,Total Sat (%),Saturation,,,,,,,,,91.0
184,102924-sp-940,terk,8939,2024-10-07,2024-10-29,TCEC (meq),Saturation,,,,,,,,,26.51
185,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Calcium,Nutrient,36.97,40.0,3.03,701.49,870.4,168.91,,,
186,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Magnesium,Nutrient,18.89,7.0,-11.89,251.44,92.16,-159.28,,,
187,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Potassium,Nutrient,36.02,13.0,-23.02,95.43,87.36,-8.07,,,
188,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Sodium,Nutrient,53.98,10.0,-43.98,47.39,14.72,-32.67,,,
189,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Phosphorus,Nutrient,2.85,0.8,-2.05,6.75,87.36,80.61,,,
190,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Sulfur,Nutrient,16.94,2.0,-14.94,7.0,43.68,36.68,,,
191,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Chloride,Nutrient,187.68,20.0,-167.68,187.68,,,,,
192,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Silicon,Nutrient,57.03,20.0,-37.03,296.86,34.94,-261.92,,,
193,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Iodine,Nutrient,4.84,5.0,0.16,4.84,,,,,
194,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Boron,Nutrient,3.79,0.75,-3.04,0.7,0.87,0.17,,,
195,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.34,0.5,0.16,0.23,1.25,1.02,,,
196,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Selenium,Nutrient,0.92,0.5,-0.42,0.34,1.75,1.41,,,
197,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Aluminum,Nutrient,28.53,1.0,-27.53,290.21,132.32,-157.89,,,
198,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Iron,Nutrient,30.46,0.75,-29.71,66.16,29.12,-37.04,,,
199,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Manganese,Nutrient,1.94,0.07,-1.87,57.66,14.56,-43.1,,,
200,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Zinc,Nutrient,0.37,0.06,-0.31,1.78,8.74,6.96,,,
201,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Copper,Nutrient,0.37,0.04,-0.33,7.0,3.49,-3.51,,,
202,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,1.8,1.75,-0.05,,,
203,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,6.94,6.2,-0.74
204,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.03,0.64,0.61
205,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.05,0.7,0.65
206,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,18.0,80.0,62.0
207,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,1.2,7.0,5.8
208,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,63.22,1000.0,936.78
209,102924-sp-941,c&h 2,15216,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,286.08,60.0,-226.08
